Runda,Data,N1,N2,N3,N4,N5,N6,,,,,,,
Tragerea #307,1999-10-17,45,48,33,5,9,15,,,,,,,
Tragerea #308,1999-10-24,35,47,6,20,5,45,,,,,,,
Tragerea #309,1999-10-31,27,38,34,11,5,47,,,,,,,
Tragerea #310,1999-11-07,36,40,8,33,5,49,,,,,,,
Tragerea #311,1999-11-14,25,47,43,6,18,20,,,,,,,
Tragerea #312,1999-11-21,6,23,2,43,13,40,,,,,,,
Tragerea #313,1999-11-28,31,10,39,11,35,29,,,,,,,
Tragerea #314,1999-12-05,18,38,41,33,6,7,,,,,,,
Tragerea #315,1999-12-12,39,38,26,24,18,16,,,,,,,
Tragerea #316,1999-12-19,31,37,32,38,22,13,,,,,,,
Tragerea #317,1999-12-26,12,32,4,30,41,33,,,,,,,
Tragerea #318,2000-01-02,13,8,15,2,1,37,,,,,,,
Tragerea #319,2000-01-09,33,29,39,17,41,13,,,,,,,
Tragerea #320,2000-01-16,16,7,22,13,1,6,,,,,,,
Tragerea #321,2000-01-23,46,41,17,6,29,2,,,,,,,
Tragerea #322,2000-01-30,14,4,13,34,12,40,,,,,,,
Tragerea #323,2000-02-06,8,12,42,6,20,29,,,,,,,
Tragerea #324,2000-02-13,2,47,23,48,33,8,,,,,,,
Tragerea #325,2000-02-20,23,44,6,5,45,11,,,,,,,
Tragerea #326,2000-02-27,23,12,36,38,41,17,,,,,,,
Tragerea #327,2000-03-05,8,48,28,23,7,17,,,,,,,
Tragerea #328,2000-03-12,36,49,16,2,47,19,,,,,,,
Tragerea #329,2000-03-19,23,37,42,47,21,48,,,,,,,
Tragerea #330,2000-03-26,30,11,23,1,6,43,,,,,,,
Tragerea #331,2000-04-02,5,10,25,18,35,27,,,,,,,
Tragerea #332,2000-04-09,3,31,22,35,40,18,,,,,,,
Tragerea #333,2000-04-16,43,34,7,30,28,3,,,,,,,
Tragerea #334,2000-04-23,3,20,45,42,11,31,,,,,,,
Tragerea #335,2000-04-30,19,30,33,31,1,41,,,,,,,
Tragerea #336,2000-05-07,30,37,33,34,29,16,,,,,,,
Tragerea #337,2000-05-14,5,4,27,3,41,37,,,,,,,
Tragerea #338,2000-05-21,25,28,39,40,17,37,,,,,,,
Tragerea #339,2000-05-28,12,6,46,37,47,17,,,,,,,
Tragerea #340,2000-06-04,49,23,13,10,8,38,,,,,,,
Tragerea #341,2000-06-11,45,7,36,24,21,25,,,,,,,
Tragerea #342,2000-06-18,48,9,32,20,17,6,,,,,,,
Tragerea #343,2000-06-25,4,3,13,31,34,49,,,,,,,
Tragerea #344,2000-07-02,29,43,36,4,30,47,,,,,,,
Tragerea #345,2000-07-09,11,16,27,3,45,4,,,,,,,
Tragerea #346,2000-07-16,11,40,47,22,9,48,,,,,,,
Tragerea #347,2000-07-23,4,23,20,2,14,43,,,,,,,
Tragerea #348,2000-07-30,45,23,16,35,24,1,,,,,,,
Tragerea #349,2000-08-06,12,18,29,49,9,11,,,,,,,
Tragerea #350,2000-08-13,35,47,26,16,18,48,,,,,,,
Tragerea #351,2000-08-20,34,35,25,2,8,10,,,,,,,
Tragerea #352,2000-08-27,1,36,38,29,15,21,,,,,,,
Tragerea #353,2000-09-03,33,22,3,2,34,11,,,,,,,
Tragerea #354,2000-09-10,17,29,14,46,11,23,,,,,,,
Tragerea #355,2000-09-17,4,12,47,26,11,17,,,,,,,
Tragerea #356,2000-09-24,20,18,10,38,22,41,,,,,,,
Tragerea #357,2000-10-01,15,33,23,9,47,24,,,,,,,
Tragerea #358,2000-10-08,30,25,1,5,18,9,,,,,,,
Tragerea #359,2000-10-15,13,4,11,8,9,27,,,,,,,
Tragerea #360,2000-10-22,15,14,36,21,11,9,,,,,,,
Tragerea #361,2000-10-29,44,9,7,34,33,29,,,,,,,
Tragerea #362,2000-11-05,23,32,37,27,46,39,,,,,,,
Tragerea #363,2000-11-12,37,20,21,32,6,44,,,,,,,
Tragerea #364,2000-11-19,3,46,26,36,17,10,,,,,,,
Tragerea #365,2000-11-26,46,36,47,6,25,38,,,,,,,
Tragerea #366,2000-12-03,31,47,29,40,7,5,,,,,,,
Tragerea #367,2000-12-10,17,36,45,47,19,10,,,,,,,
Tragerea #368,2000-12-17,27,21,31,4,19,35,,,,,,,
Tragerea #369,2000-12-24,13,16,34,15,17,9,,,,,,,
Tragerea #370,2001-01-02,16,46,18,15,25,31,,,,,,,
Tragerea #371,2001-01-07,18,47,45,20,9,39,,,,,,,
Tragerea #372,2001-01-14,30,7,2,32,49,12,,,,,,,
Tragerea #373,2001-01-21,40,14,13,26,19,32,,,,,,,
Tragerea #374,2001-01-28,7,11,20,10,32,21,,,,,,,
Tragerea #375,2001-02-04,14,24,39,21,36,43,,,,,,,
Tragerea #376,2001-02-11,39,15,20,16,21,19,,,,,,,
Tragerea #377,2001-02-18,34,6,32,29,4,19,,,,,,,
Tragerea #378,2001-02-25,32,4,1,40,38,25,,,,,,,
Tragerea #379,2001-03-04,8,38,27,16,19,40,,,,,,,
Tragerea #380,2001-03-11,42,7,14,15,21,12,,,,,,,
Tragerea #381,2001-03-18,22,36,2,41,1,9,,,,,,,
Tragerea #382,2001-03-25,9,26,7,39,18,15,,,,,,,
Tragerea #383,2001-04-01,43,32,30,16,48,15,,,,,,,
Tragerea #384,2001-04-08,43,44,36,23,34,21,,,,,,,
Tragerea #385,2001-04-15,5,6,9,44,8,34,,,,,,,
Tragerea #386,2001-04-22,6,36,14,18,19,21,,,,,,,
Tragerea #387,2001-04-29,46,38,12,41,30,10,,,,,,,
Tragerea #388,2001-05-06,34,17,44,13,47,12,,,,,,,
Tragerea #389,2001-05-13,24,33,3,37,26,32,,,,,,,
Tragerea #390,2001-05-20,3,41,47,14,23,8,,,,,,,
Tragerea #391,2001-05-27,19,47,28,38,29,9,,,,,,,
Tragerea #392,2001-06-03,10,3,9,39,12,14,,,,,,,
Tragerea #393,2001-06-10,19,22,16,17,42,33,,,,,,,
Tragerea #394,2001-06-17,12,24,28,44,17,39,,,,,,,
Tragerea #395,2001-06-24,43,44,48,3,46,41,,,,,,,
Tragerea #396,2001-07-01,49,17,41,13,27,8,,,,,,,
Tragerea #397,2001-07-08,18,42,8,23,21,22,,,,,,,
Tragerea #398,2001-07-15,1,42,36,29,25,30,,,,,,,
Tragerea #399,2001-07-22,30,40,42,22,19,13,,,,,,,
Tragerea #400,2001-07-29,12,2,47,23,34,32,,,,,,,
Tragerea #401,2001-08-05,30,43,22,13,49,32,,,,,,,
Tragerea #402,2001-08-12,45,26,47,22,18,17,,,,,,,
Tragerea #403,2001-08-19,34,41,33,47,23,35,,,,,,,
Tragerea #404,2001-08-26,27,16,10,21,22,38,,,,,,,
Tragerea #405,2001-09-02,2,1,13,42,25,3,,,,,,,
Tragerea #406,2001-09-09,6,8,40,41,43,9,,,,,,,
Tragerea #407,2001-09-16,26,23,29,41,15,39,,,,,,,
